id,group,sex,age,purchasesYearly,averagePurchasesPrice,averagePagesPerVisit,supportRequestYearly,participationInSurveys,satisfactionRate,satisfactionDegree
1,1,1,25,36,539,21.7,20,3,72,average
2,1,2,24,26,290,29.7,17,2,97,high
3,1,1,28,29,335,15.7,20,3,34,low
4,1,1,22,22,492,27.9,15,2,85,high
5,1,1,26,34,332,25.8,26,3,80,high
6,1,2,27,23,262,22.9,18,4,63,low
7,1,1,25,34,103,17.7,19,2,60,low
8,1,2,24,30,335,25.8,19,4,85,high
9,1,1,27,27,151,27.3,16,3,89,high
10,1,1,25,27,328,26.8,15,2,91,high
11,1,1,27,29,330,14.1,16,1,43,low
12,1,1,26,26,328,18.8,20,2,46,low
13,1,2,23,33,459,22.2,15,3,84,high
14,1,1,26,29,243,24,17,3,78,high
15,1,1,24,31,100,23.3,20,3,79,high
16,1,2,24,26,258,23,23,4,55,low
17,1,1,26,27,261,15.6,23,1,36,low
18,1,2,23,30,378,24.5,15,4,89,high
19,1,1,22,25,206,20.5,14,2,65,low
20,1,2,25,28,596,24.1,20,4,75,average
21,1,1,25,30,331,25.2,25,3,72,average
22,1,2,27,32,450,30.1,24,3,98,high
23,1,1,24,29,353,22.8,11,2,89,high
24,1,1,24,21,343,21.5,21,1,50,low
25,1,1,23,31,317,27.3,6,1,99,high
26,1,2,25,20,312,21.4,17,3,49,low
27,1,1,24,30,356,21.1,26,1,53,low
28,1,2,27,31,521,29.1,16,2,99,high
29,1,1,21,31,348,24.6,20,1,83,high
30,1,1,24,34,296,26.5,22,1,90,high
31,1,1,22,27,394,20.5,20,2,52,low
32,1,1,26,26,324,30,22,3,85,high
33,1,2,25,31,429,22.5,15,4,85,high
34,1,1,26,24,330,32.6,16,2,99,high
35,1,1,27,26,443,21.6,15,1,71,average
36,1,2,23,31,310,18.4,15,4,70,average
37,1,1,22,35,341,23.9,19,1,87,high
38,1,2,26,28,178,25.1,11,3,90,high
39,1,1,26,24,115,25.7,18,3,77,high
40,1,2,24,25,160,21.1,23,3,48,low
41,1,1,27,25,332,22.6,20,2,59,low
42,1,2,25,29,219,18.1,18,4,56,low
43,1,1,26,24,341,24.1,15,3,72,average
44,1,1,22,29,362,25.2,21,2,78,high
45,1,1,29,29,156,24.3,15,3,81,high
46,1,2,24,35,496,24.6,20,4,90,high
47,1,1,27,33,197,30.5,22,2,100,high
48,1,2,24,29,438,20.8,18,2,67,average
49,1,1,20,33,304,23.6,16,3,92,high
50,1,1,23,27,337,26.2,21,1,75,average
51,1,1,26,27,385,27.1,24,2,75,high
52,1,1,24,18,409,22,24,3,35,low
53,1,2,22,28,449,27.6,23,2,74,average
54,1,1,26,26,305,26.3,22,3,74,average
55,1,1,25,31,317,17.6,17,3,59,low
56,1,2,24,20,419,22.6,21,2,55,low
57,1,1,25,28,236,22.3,20,3,63,low
58,1,2,26,26,519,22.2,18,2,60,low
59,1,1,26,22,363,17.2,9,1,56,low
60,1,2,28,29,230,21.3,22,4,53,low
61,1,1,23,30,435,23.2,18,3,83,high
62,1,2,26,35,276,24.6,19,2,93,high
63,1,1,25,34,362,18.4,22,3,61,low
64,1,1,25,27,498,22.5,24,2,57,low
65,1,1,24,28,275,25.2,11,2,99,high
66,1,2,27,33,354,27.1,19,2,92,high
67,1,1,28,20,411,21.5,20,2,45,low
68,1,2,26,24,432,25.4,16,4,79,high
69,1,1,25,22,343,25.4,12,1,81,high
70,1,1,27,26,319,23.1,13,2,75,average
71,1,1,26,29,276,19.3,19,2,55,low
72,1,1,27,29,464,19.4,22,2,54,low
73,1,2,27,28,212,16.4,12,2,61,low
74,1,1,25,31,217,20.4,16,3,72,average
75,1,1,24,34,323,23.8,20,2,80,high
76,1,2,24,27,332,25.9,22,2,72,average
77,1,1,28,23,322,20.3,15,2,59,low
78,1,2,29,29,198,26.2,24,4,71,average
79,1,1,28,22,360,21.1,24,2,41,low
80,1,2,27,32,405,26.3,18,4,86,high
81,1,1,22,22,343,24.9,14,1,79,high
82,1,2,24,20,432,25.2,25,3,49,low
83,1,1,27,24,296,28.5,16,1,95,high
84,1,1,25,38,198,18.4,19,2,70,average
85,1,1,27,28,338,27.7,22,2,85,high
86,1,2,25,25,339,18.8,20,3,47,low
87,1,1,27,28,284,18.3,21,3,48,low
88,1,2,27,23,314,29.2,18,2,88,high
89,1,1,20,25,373,26.8,13,1,91,high
90,1,1,23,29,351,22.6,23,3,60,low
91,1,1,22,27,297,24.9,7,2,99,high
92,1,1,26,26,332,26.1,14,3,82,high
93,1,2,27,25,337,21.8,12,2,84,high
94,1,1,28,23,178,31.7,24,3,85,high
95,1,1,24,37,275,22.9,13,1,100,high
96,1,2,26,27,161,20.9,21,3,58,low
97,1,1,24,27,261,20.9,13,2,73,average
98,1,2,27,25,325,24.6,26,4,57,low
99,1,1,25,23,405,24.3,24,2,53,low
100,1,2,26,25,335,25.8,15,3,83,high
101,2,2,44,33,553,18.7,20,2,63,low
102,2,1,42,40,555,21.1,19,1,89,high
103,2,1,42,35,611,29.1,20,3,100,high
104,2,2,40,30,728,18.2,12,2,67,average
105,2,2,36,35,634,20.4,19,4,75,average
106,2,1,45,37,746,25.4,20,3,96,high
107,2,2,38,29,458,26.8,17,4,90,high
108,2,2,42,33,571,16.9,17,4,56,low
109,2,2,37,39,594,23.3,18,2,96,high
110,2,1,33,32,563,16.3,20,1,55,low
111,2,2,40,42,521,19.3,15,3,94,high
112,2,2,38,37,532,22.5,12,4,100,high
113,2,2,44,42,500,19.2,18,4,87,high
114,2,1,44,33,534,14.5,19,3,48,low
115,2,2,36,32,458,18.5,23,4,48,low
116,2,2,42,36,719,24.1,16,4,93,high
117,2,1,42,28,530,17.5,22,1,40,low
118,2,2,42,38,504,22.1,20,4,79,high
119,2,1,36,33,516,22.6,14,1,85,high
120,2,1,46,31,617,22.9,20,3,73,average
121,2,2,42,42,569,20.5,18,3,93,high
122,2,1,38,27,445,29.4,18,3,99,high
123,2,1,35,33,358,22.4,19,1,78,high
124,2,2,30,30,609,18.9,21,4,58,low
125,2,2,34,40,390,25.6,19,2,100,high
126,2,1,40,35,789,29.1,15,2,100,high
127,2,2,46,36,574,21.7,16,3,92,high
128,2,2,33,27,706,20.9,17,3,63,low
129,2,2,39,40,516,25,17,3,109,high
130,2,1,37,38,612,20,16,3,92,high
131,2,2,37,30,658,17.7,22,2,51,low
132,2,2,40,40,661,21.9,14,2,98,high
133,2,2,36,38,637,21.7,13,3,96,high
134,2,1,39,36,685,24.4,21,2,94,high
135,2,2,43,38,553,21.8,13,3,98,high
136,2,2,35,33,475,18.9,21,3,57,low
137,2,1,34,34,396,23.8,23,1,77,high
138,2,2,45,37,503,21.7,13,3,93,high
139,2,1,37,30,581,23.2,19,3,74,average
140,2,1,31,25,639,19.2,16,2,52,low
141,2,2,43,42,477,24.1,19,4,100,high
142,2,1,35,28,666,21.9,19,3,64,low
143,2,1,44,41,628,21.4,23,3,77,high
144,2,2,38,27,632,23.6,16,2,83,high
145,2,2,40,30,578,28,20,2,88,high
146,2,1,37,34,620,18.9,12,3,80,high
147,2,2,36,34,478,28.7,17,4,100,high
148,2,2,35,37,504,24.3,21,3,86,high
149,2,2,41,29,554,19,16,4,62,low
150,2,1,45,33,416,23.8,19,2,87,high
151,2,2,48,41,625,16.3,16,4,80,high
152,2,2,40,33,545,21,22,2,60,low
153,2,2,48,35,645,23.5,14,3,100,high
154,2,1,40,36,647,20.8,12,3,95,high
155,2,2,41,36,702,20.9,17,2,82,high
156,2,2,37,29,674,15.8,23,3,37,low
157,2,1,41,35,650,22.7,22,1,78,high
158,2,2,41,21,564,27.1,15,2,84,high
159,2,1,46,30,565,23.3,13,3,83,high
